Nghề/Công việc,Ngành/Lĩnh vực,Mô tả công việc,Mức lương,Khu vực phổ biến,Nhóm khuyết tật
Nhân viên đóng gói sản phẩm,Sản xuất - Kho vận,"Cơ hội việc làm: Đóng gói, dán nhãn, kiểm đếm sản phẩm tại kho, công việc lặp lại theo quy trình đơn giản. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",5-7 triệu/tháng,"Quận Tân Bình, TP.HCM",Khuyết tật trí tuệ nhẹ
Nhân viên trực chat/CSKH online,Chăm sóc khách hàng,"Tuyển gấp: Trả lời tin nhắn khách hàng qua Fanpage/Zalo/website, tư vấn sản phẩm, xử lý khiếu nại qua kênh chat (không gọi điện thoại).",6-9 triệu/tháng,"TP. Thủ Đức, TP.HCM",Khuyết tật ngôn ngữ
Nhân viên thiết kế đồ họa,Thiết kế - Sáng tạo,"Tuyển gấp: Thiết kế banner, ấn phẩm truyền thông bằng Photoshop/Illustrator/Canva theo brief từ khách hàng, làm việc online. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",8-15 triệu/tháng,TP. Huế,Khiếm thính
Nhân viên trực chat/CSKH online,Chăm sóc khách hàng,"Trả lời tin nhắn khách hàng qua Fanpage/Zalo/website, tư vấn sản phẩm, xử lý khiếu nại qua kênh chat (không gọi điện thoại). Ưu tiên ứng viên có tinh thần trách nhiệm cao.",6-9 triệu/tháng,"Quận Hai Bà Trưng, Hà Nội",Khuyết tật ngôn ngữ
Thợ may công nghiệp,May mặc - Dệt may,"Cần tuyển: May các công đoạn theo dây chuyền tại xưởng, đã qua đào tạo nghề may cơ bản, làm việc theo ca cố định. Xét duyệt hồ sơ và phỏng vấn trong tuần.",6-9 triệu/tháng,"Quận Đống Đa, Hà Nội",Khuyết tật trí tuệ nhẹ
Nhân viên gia công thủ công mỹ nghệ,Thủ công mỹ nghệ,"Cần tuyển: Gia công sản phẩm handmade (vòng tay, đồ trang trí, hộp quà) theo mẫu có sẵn tại xưởng hoặc nhận về nhà làm. Xét duyệt hồ sơ và phỏng vấn trong tuần.",4-7 triệu/tháng,TP. Đà Nẵng,Khiếm thính
Kỹ thuật viên xoa bóp bấm huyệt,Y tế - Chăm sóc sức khỏe,"Cần tuyển: Thực hiện các liệu trình xoa bóp, bấm huyệt cho khách hàng tại cơ sở massage y học cổ truyền, đã qua đào tạo nghề. Môi trường làm việc thân thiện, hòa nhập.",7-12 triệu/tháng (có hoa hồng),TP. Đà Nẵng,Khiếm thị
Nhân viên thiết kế đồ họa,Thiết kế - Sáng tạo,"Tuyển gấp: Thiết kế banner, ấn phẩm truyền thông bằng Photoshop/Illustrator/Canva theo brief từ khách hàng, làm việc online. Môi trường làm việc thân thiện, hòa nhập.",8-15 triệu/tháng,"Quận Bình Thạnh, TP.HCM",Đa khuyết tật nhẹ
Nhân viên trực page bán hàng online,Thương mại điện tử,"Cơ hội việc làm: Quản lý fanpage/shop online, lên đơn, nhắn tin tư vấn khách hàng qua Messenger/Zalo (không gọi điện thoại). Ưu tiên ứng viên có tinh thần trách nhiệm cao.",6-9 triệu/tháng,"TP. Thủ Dầu Một, Bình Dương",Khuyết tật ngôn ngữ
Kế toán viên,Kế toán - Tài chính,"Tuyển gấp: Hạch toán chứng từ, lập báo cáo thuế cơ bản, sử dụng phần mềm kế toán MISA, làm việc tại văn phòng hoặc remote. Xét duyệt hồ sơ và phỏng vấn trong tuần.",8-12 triệu/tháng,"TP. Vinh, Nghệ An",Khuyết tật ngôn ngữ
